ident,name,coordinates,elevation_ft,iso_country,municipality,iata_code
4PS3,Paraport Airstrip,"-79.518586, 41.788417",1400,US,Warren,
5A8,Aleknagik / New Airport,"-158.617996216, 59.2826004028",66,US,Aleknagik,WKK
AGGH,Honiara International Airport,"160.05499267578, -9.4280004501343",28,SB,Honiara,HIR
AGGM,Munda Airport,"157.26300048828125, -8.327969551086426",10,SB,,MUA
AHJ,Hongyuan Airport,"102.35224, 32.53154",11600,CN,Aba,AHJ
AMC,Mar de Cortés International Airport,"-113.305864, 31.351621",71,MX,Puerto Peñasco,PPE
ANYN,Nauru International Airport,"166.919006, -0.547458",22,NR,Yaren District,INU
AYBK,Buka Airport,"154.67300415039062, -5.4223198890686035",11,PG,Buka Island,BUA
AYCH,Chimbu Airport,"144.9709930419922, -6.024290084838867",4974,PG,Kundiawa,CMU
AYDU,Daru Airport,"143.207992554, -9.08675956726",20,PG,Daru,DAU
AYGA,Goroka Airport,"145.391998291, -6.081689834590001",5282,PG,Goronka,GKA
AYGN,Gurney Airport,"150.333999634, -10.3114995956",88,PG,Gurney,GUR
AYGR,Girua Airport,"148.309005737, -8.80453968048",311,PG,Popondetta,PNP
AYHK,Kimbe Airport,"150.40499877929688, -5.462170124053955",66,PG,Hoskins,HKN
AYKM,Kerema Airport,"145.770996094, -7.96361017227",10,PG,Kerema,KMA
AYKV,Kavieng Airport,"150.807998657, -2.57940006256",7,PG,Kavieng,KVG
AYMD,Madang Airport,"145.789001465, -5.20707988739",20,PG,Madang,MAG
AYMH,Mount Hagen Kagamuga Airport,"144.29600524902344, -5.826789855957031",5388,PG,Mount Hagen,HGU
AYMN,Mendi Airport,"143.656998, -6.14774",5680,PG,Mendi,MDU
AYMO,Momote Airport,"147.423996, -2.06189",12,PG,Manus Island,MAS
AYNZ,Nadzab Airport,"146.725977, -6.569803",239,PG,Lae,LAE
AYPY,Port Moresby Jacksons International Airport,"147.22000122070312, -9.443380355834961",146,PG,Port Moresby,POM
AYTK,Tokua Airport,"152.380004883, -4.34045982361",32,PG,Tokua,RAB
AYVN,Vanimo Airport,"141.3028, -2.6926",10,PG,Vanimo,VAI
